document_id,clean_text,sentiment
0,Who knew a superhero film could be so beautiful?,Positive
1,something unique and fresh,Positive
2,"Crouching Tiger, Hidden MARVEL . . . And So MUCH , MUCH , MUCH , MORE ðŸ’Ž",Positive
3,It's a Visual treat,Neutral
4,Best non-avengers MCU movie,Positive
5,Fun Film That Does What It Is Supposed To,Positive
6,"Honestly it's great, beautiful martial arts galore",Positive
7,Out of the Marvel patterns,Neutral
8,"It's not as bad as people are saying, it's also not quite as good.",Positive
9,What's up with these extreme positive reviews?,Positive
10,Honest: A decent movie but don't expect anything you haven't already seen from Marvel.,Positive
11,Strong 7/10,Positive
12,A return to good Marvel movies,Positive
13,Absolute Banger!,Positive
14,Amazing,Positive
15,Stop Disneying our Marvel Dammit,Neutral
16,Probably one of the worst MCU movies,Negative
17,Great visuals but horrid storyline.,Positive
18,One of the Best Marvel Movies of This Year,Positive
19,Fantastic movie!,Positive
20,Martin Scorsese Was So Right,Positive
21,Not as Good as Some Reviews Say,Positive
22,Great visuals but slow moving,Positive
23,IT WAS FANTASTICðŸ”¥ðŸ”¥ðŸ”¥,Positive
24,Top tier MCU,Positive
25,Boring,Negative
26,Enjoyable action film,Positive
27,Must watch movie of this year,Neutral
28,Visually stunning but overrated,Neutral
29,Overrated,Neutral
30,This is an awesome movie! Loved every second of it,Positive
31,A great Kung-Fu movie.,Positive
32,Amazing,Positive
33,The perfect start for phase 4,Positive
34,Shang Chi is a Emotional Roller Coaster,Neutral
35,Blew away my already high expectations,Positive
36,"Poetry in motion, layered story, emotional adventure. A sparkling jewel.",Neutral
37,Wow!,Positive
38,hell yeah,Neutral
39,Marvel again outlived our expectations!!!,Neutral
40,That movie was really bad!,Negative
41,My favorite Marvel movie so far!,Positive
42,"I didn't know what to expect, but I was pleasantly surprised",Positive
43,Great visuals and fight scenes,Positive
44,Shang-Chi review,Neutral
45,Top MCU film,Positive
46,This is the marvel movie the year wanted,Neutral
47,Somehow even Tenet managed to have more personality,Neutral
48,An awesome fresh start to the MCU,Positive
49,Worth watching,Positive
50,You're missing out on a outstanding film if you're thinking of not seeing it,Positive
51,"This is phase 4 guys, majestic !!",Neutral
52,On A Dark Desert Highway.....,Negative
53,The Best Origin Story Marvel has produced yet.,Positive
54,Generic,Neutral
55,Awesome Fight Scenes,Positive
56,"It's like a 80's kung-fu movie of old (well, mostly)",Positive
57,...and just when you think you've seen all that Marvel has to offer...,Neutral
58,A classic shaped movie yet with marvel touch,Positive
59,Better than expected,Positive
60,A fresh new perspective for Marvel,Positive
61,Best of all realms,Positive
62,So much better than I expected,Positive
63,A Master Marvel Movie,Neutral
64,Shang-Chi and the Legend of the Ten Rings just became one of my absolute favorites of the entire MCU!,Positive
65,Good,Positive
66,A must watch! Amazing movie!,Positive
67,10/10/2021 0:00,Neutral
68,Fantastic if you don't know the comic story....,Positive
69,Wow!,Positive
70,Another marvel movie no one's gonna remember,Neutral
71,Jaw dropping action and visuals.,Positive
72,MASTER OF MARTIAL ARTS,Neutral
73,A Marvel Legend has risen,Neutral
74,Awesome movie! Highly reccomend,Positive
75,Had it's moments,Neutral
