User Name,Star,Review Title,Review Text,Review Posted Time
dominicwood-14504,9,Who knew a superhero film could be so beautiful?,"I'll start by saying that if you're looking for a great story, you'll be disappointed. Shang-Chi is a pretty standard hero's journey at its core, which is a shame because the story could have been inspired by House of Flying Daggers and other wuxia titles.

So why a rating so high? Because where the story falls, everything else excels.

Shang-Chi is visually spectacular and a real treat for the eyes with some visuals that are incredibly distinct for the MCU. In regards to aesthetics, Black Panther walked so Shang-Chi could run a marathon.

The fight scenes are all amazing. There's one weak fight, but it's meant to be weak, and they're all very long, which is great to see. One of the early ones went on for a solid 5 - 10 minutes, which was unexpected but far from disappointing.

The first actual fight scene is my favourite in the MCU, and I was worried none of the others would top it, but they were all delightful to watch, and I was so glad they did a parallel of it later on. Either way, the writers went hard on the fight scenes and that paid off.

In summary, the story is lacking, but I'm glad in a way because that allowed everything else to shine. And shine, it did. I hope future directors take lessons from the aesthetics and choreography of Shang-Chi.",4-Sep-21
laviniadallam,10,something unique and fresh,"After 10 years of almost every movie being.armed combat, this one is fresh and the perfect start for phase 4 (yes, the start is with black widow but is something ""old"", too related to the previous phases), i loved every single moment, i got chills, i laughed. The soundtrack is astonishing, as the.cinematography. The best of the mcu if i may. Loved the colors. The fighting sequence leave you attached to the screen as they seem like they are dancing. All combined is something else, completely new and i can't wait to see more of simu liu as shang-chi because he was.brilliant.

Go see the movie!!",2-Sep-21
Radio-1s_Mr-MovieMad-Ami_104-1FM,9,"Crouching Tiger, Hidden MARVEL . . . And So MUCH , MUCH , MUCH , MORE 💎","A -BIG- Screen Mini Review. Viewed Sept.05, 2021.

______________________________________________________

Katy : ""That's fine...... you can just explain on the plane"". { Said to Shaun a.k.a Shang-Chi, marking a ""sudden and unexpected"" twist of events }.

______________________________________________________

1. "" So -{ MANY }- Upsides : ""Crouching Tiger, Hidden MARVEL"" { Gosh . . . . where do I even start❓} "" : Ang Lee's circa 2000 quasi-mystical Martial arts spectacular is the -Very- first film that came to my mind whilst watching a certain beautifully -{ "" Atmospheric "" }- segment of the opening-act of 'Shang-Chi And The Legend Of The Ten Rings' ( 'Shang-Chi' for short ) . . . . you'll know it -Immediately- upon seeing it . . . . featuring ""ever-fabulous"" Malaysian Mega Star Michelle Yeoh ; who of course was one of the -Principal- characters in 'Crouching Tiger, Hidden Dragon', -As well- . { FYI : this is by no means intended to be a spoiler ; -several- of the movie -official- teasers & trailers 'gallantly' feature the said scene, albeit briefly }. And what's more ...( trailers also )... if you're someone with 'even the slightest bit' of true passion for all things within the realm of sheer cinematic -{ FANTASY 🌠 }- , then you'll be absolutely -delighted- to know that Shang Chi -Also- has a distinct 'Harry Potter' aspect to it . . . & if even -that's- not enough for you . . . Then, get this, its got a 'full-blown dollop of Narnia' thrown in there for good measure, at that. To be -Really- honest, it felt a bit disorienting , -At First- , seeing all ""those types of elements"" in an 'MCU' ( 'Marvel Cinematic Universe' ) picture, but then I suddenly realized that 'Infinity War' -And- 'Endgame' both -Very- prominently feature, well ...{ a walking, -""Talking""- demolition derby of a, err, -""Raccoon""- }... in them, & I began to feel at home again, pretty darn quick.

2. "" There -Is- One 'Stark' Downside, Alas . . . . The MCU has had -{ WAY }- Too Much ""Muddled & Obfuscatory"" Messaging Vis-a-vis 'The Ten Rings', Over The Years "" : In 2008's -superbly- received { and completely -iconic- } 'Ironman', which is where we were all introduced to the bespoke militant organization, ( 'TTR' for short ), for the -Very- first time . . . . there is an ""Explicit And Unequivocal"" reference to the film's ( initial ) setting as being sometime within the USA's long 'War In Afghanistan', ( where the -Official- state religion is Islam ). Hence, by -{ EXTENSION 💡 }- , there is the correspondingly ""Glaring"", ( although tad more ""Implicit"" ), suggestion that TTR is . . . . . { from the immediately apparent ethnic backgrounds of the mostly Urdu & Arabic speaking members portrayed, to the group's visually -Distinctive- flag, right down to the undeniably frightening 'Imminent-Beheading' type video featuring a thoroughly bruised & bloodied Tony Stark as its centerpiece ( all too reminiscent of the -Horribly- tragic & bloodcurdling news stories that we've been, sadly, accustomed to reading about, hearing about and watching over the years ) } . . . . . 'yet another' archetypal, classic ""Islamist-fundamentalist"" type group. When in fact, as is -Strongly- conveyed to us in -This- particular picture, ( beginning all the way with the trailers itself ), that this is simply -{ Not }- the case. The said militant group does, of course, turn out to be, ( at its very 'Core' ), & by way of, this, its Origins-Story ; ""Not Arab Or Middle Eastern -At All-"" , but in fact . . . . -{ "" 100% CHINESE "" }- . Certainly very confusing, -especially- for the majority of us, who -haven't- read any 'Mandarin vs. Shang-Chi' comics . . . . Go Figure 🤷‍♂️ 🤔 .

"" Final Analysis "" : -{ If }- you can get yourself to basically -Overlook- the aforementioned, & ""Legitimate Inconsistencies"" pertaining to Marvel's cinematic representation of its Ten Rings Organization, then . . . . -Yes- , for the most part at least, you -{ Should }- believe all the ""Rave Reviews"" that this 'Utter Delight Of A Movie' has -already- garnered, 'Globally'. A -Huge- Shoutout to its 'rookie' ( -relatively speaking- ) Director 'Destin Daniel Cretton', who""s been able to achieve this feat with, get this, just his -""5th""- Directorial-venture . . . Ever 👏 . What started as a humble yet impassioned little comic book effort about 10 very magical, & { Phenomenally Empowered Alien ""MAKLUAN"" Rings } . . . By the ""Truly-Legendary"" Stan Lee & Don Heck in Feb. 1964 ( ""Tales Of Suspense, No.50"" ) . . . Has now become the supremely enthralling ""Fresh New Face"" of Marvel's 'BOLD NEW ERA' { that started with 'Phase Four' }. The film's 'Star' is newcomer Simu Liu, whose portrayal of the outwardly nerdy-seeming yet immensely likeable 'Shaun' works wonderfully { not to mention all his ( "" Super 😉 "" )-impressive Kung Fu skills, of course }, with his ever-jocular best companion 'Katy', ( Awkwafina ), showing an absolute -ton- of heart, courage, & most of all, -{ "" Fierce "" }- Loyalty, throughout. Tony Leung, Meng'er Zhang, Fala Chen, Michelle Yeoh, & of course Shang-Chi's Big, Fun, ""Open-Surprise"" .....the 'one & only' Ben Kingsley.... perform their respective roles with -{ "" Panache "" }- . So, all told, it's going to be "" A Completely Charmed, Fiery 9.50 Marks Out 10 From Me . . . . ROCK ON, MARVEL 👊 🔥❗"" .",8-Sep-21
mhatreritesh,9,It's a Visual treat,Perfect Fantasy film to watch with full family.. you can't miss this on big screen.,4-Sep-21
nishantsalhotrans,10,Best non-avengers MCU movie,"Keeping it short. This movie had it all. Great story, writing, direction, acting, villain, comedy and fight direction.

I'm a huge old school kung-fu movie fan and I was a bit sceptical about how they will show the fight scenes. Glad they kept it authentic with the fight director (who worked with Jackie Chan a lot). It was insane.

The story itself was superb. The villain's character development was amazing. The direction was not rushed and at the same time it didn't bore me for a single second.

Best non-avengers MCU movie for me. I can watch this again today after watching it last night.",6-Sep-21
truthtellers-16825,8,Fun Film That Does What It Is Supposed To,"Brought to you by the Truth Tellers.

Film is great overall and in this genre at least, is one of the best all year round that has been generally lacklustre. Definitely a good movie to watch as it does what it is supposed to in that it is generally a setup film for something bigger in the MCU.

Like many of the other Marvel Films in the MCU, they have to start somewhere. As an origin film it does it very well and perhaps the best origin / starting film for superhero movies that is full of action, decent story that is somewhat predictable (as it is for most origin stories) though generally fresh, fun and great characters. Definitely one to watch.

Final Verdict - Does what it is meant to do and provides the entertainment while doing it.",1-Sep-21
csheff3,9,"Honestly it's great, beautiful martial arts galore","Haven't been much of a Marvel guy even with their biggest event films, but Shang Chi is solid. Story moves quick, lots of great characters, almost nonstop action scenes, and a finale that they hid from the trailers. I was definitely way more into it than I thought I'd be. Props to the team on this one!",4-Sep-21
IliescuVictor,9,Out of the Marvel patterns,"I had very few expectations from this one, given the fact that it was an origin story with a character I know zero facts about. But let me say this, it competes with the Avengers movies when comes to cinematography, visuals and action sequences.

By far the best Marvel movie in the recent years, that puts many titles from its portfolio to shame.

The visuals are a blast, a true eye candy experience. There are a lot of new elements that Marvel seemed to experience with and it worked out perfectly. The choreography is spot on, as the fighting sequences are among the best I've seen, and combined with a good score, it turns out to be a very enjoyable seeing on the big screen. I think it's mandatory to watch Shang-Chi on the biggest screen you can get to.",2-Sep-21
handaloo,7,"It's not as bad as people are saying, it's also not quite as good.",null,4-Sep-21
JATIN-1989,4,What's up with these extreme positive reviews?,"I watched this movie after Twitter was claiming it to be the best movie ever, so I went with high expectations, after watching what I found is movie was mediocre at best, the CGI was great but apart from it everything is just ok at the best, I didn't connect with any character at all. To be honest wait for the film to come on streaming services, not worth it to go to the cinema.",4-Sep-21
